feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,score
NA,0.7,0,1.9,0.68,0.076,11,34,23,0.9978,3.51,94,0.56,9.4,5
7.8,0.88,0,2.6,0.83,0.098,25,67,34,0.9968,3.2,68,0.68,9.8,5
7.8,0.76,0.04,2.3,0.98,0.092,15,54,41,0.997,3.26,92,0.65,9.8,5
11.2,0.28,0.56,1.9,0.78,0.075,17,60,49,0.998,3.16,42,0.58,9.8,6
7.4,0.7,0,1.9,0.54,0.076,11,34,17,0.9978,3.51,47,0.56,9.4,5
7.4,0.66,0,1.8,0.59,0.075,13,40,13,0.9978,3.51,92,0.56,9.4,5
7.9,0.6,0.06,1.6,0.83,0.069,15,59,17,0.9964,3.3,77,0.46,9.4,5
7.3,0.65,0,1.2,0.98,0.065,15,21,33,0.9946,3.39,97,0.47,10,7
7.8,0.58,0.02,2,0.73,0.073,9,18,20,0.9968,3.36,53,0.57,9.5,7
7.5,0.5,0.36,6.1,0.98,0.071,17,102,42,0.9978,3.35,20,0.8,10.5,5
6.7,0.58,0.08,1.8,0.98,0.097,15,65,10,0.9959,3.28,75,0.54,9.2,5
7.5,0.5,0.36,6.1,0.59,0.071,17,102,21,0.9978,3.35,22,0.8,10.5,5
5.6,0.615,0,1.6,0.68,0.089,16,59,38,0.9943,3.58,91,0.52,9.9,5
7.8,0.61,0.29,1.6,0.68,0.114,9,29,17,0.9974,3.26,86,1.56,9.1,5
8.9,0.62,0.18,3.8,0.63,0.176,52,145,19,0.9986,3.16,32,0.88,9.2,5
8.9,0.62,0.19,3.9,0.73,0.17,51,148,43,0.9986,3.17,98,0.93,9.2,5
8.5,0.28,0.56,1.8,0.83,0.092,35,103,36,0.9969,3.3,94,0.75,10.5,7
8.1,0.56,0.28,1.7,0.88,0.368,16,56,32,0.9968,3.11,99,1.28,9.3,5
7.4,0.59,0.08,4.4,0.59,0.086,6,29,40,0.9974,3.38,82,0.5,9,4
7.9,0.32,0.51,1.8,0.88,0.341,17,56,40,0.9969,3.04,60,1.08,9.2,6
8.9,0.22,0.48,1.8,0.88,0.077,29,60,27,0.9968,3.39,25,0.53,9.4,6
7.6,0.39,0.31,2.3,0.78,0.082,23,71,23,0.9982,3.52,74,0.65,9.7,5
7.9,0.43,0.21,1.6,0.63,0.106,10,37,18,0.9966,3.17,10,0.91,9.5,5
8.5,0.49,0.11,2.3,0.63,0.084,9,67,21,0.9968,3.17,1,0.53,9.4,5
6.9,0.4,0.14,2.4,0.63,0.085,21,40,24,0.9968,3.43,9,0.63,9.7,6
6.3,0.39,0.16,1.4,0.83,0.08,11,23,47,0.9955,3.34,30,0.56,9.3,5
7.6,0.41,0.24,1.8,0.59,0.08,4,11,47,0.9962,3.28,48,0.59,9.5,5
7.9,0.43,0.21,1.6,0.88,0.106,10,37,29,0.9966,3.17,69,0.91,9.5,5
7.1,0.71,0,1.9,0.54,0.08,14,35,21,0.9972,3.47,47,0.55,9.4,5
7.8,0.645,0,2,0.59,0.082,8,16,40,0.9964,3.38,53,0.59,9.8,6
6.7,0.675,0.07,2.4,0.83,0.089,17,82,36,0.9958,3.35,29,0.54,10.1,5
6.9,0.685,0,2.5,0.73,0.105,22,37,27,0.9966,3.46,63,0.57,10.6,6
8.3,0.655,0.12,2.3,0.98,0.083,15,113,39,0.9966,3.17,92,0.66,9.8,5
6.9,0.605,0.12,10.7,0.59,0.073,40,83,50,0.9993,3.45,60,0.52,9.4,6
5.2,0.32,0.25,1.8,0.93,0.103,13,50,23,0.9957,3.38,91,0.55,9.2,5
7.8,0.645,0,5.5,0.98,0.086,5,18,36,0.9986,3.4,76,0.55,9.6,6
7.8,0.6,0.14,2.4,0.54,0.086,3,15,40,0.9975,3.42,84,0.6,10.8,6
8.1,0.38,0.28,2.1,0.68,0.066,13,30,27,0.9968,3.23,85,0.73,9.7,7
5.7,1.13,0.09,1.5,0.93,0.172,7,19,34,0.994,3.5,7,0.48,9.8,4
7.3,0.45,0.36,5.9,0.59,0.074,12,87,35,0.9978,3.33,80,0.83,10.5,5
NA,0.45,0.36,5.9,0.88,0.074,12,87,25,0.9978,3.33,52,0.83,10.5,5
8.8,0.61,0.3,2.8,0.54,0.088,17,46,40,0.9976,3.26,70,0.51,9.3,4
7.5,0.49,0.2,2.6,0.54,0.332,8,14,45,0.9968,3.21,95,0.9,10.5,6
8.1,0.66,0.22,2.2,0.98,0.069,9,23,36,0.9968,3.3,92,1.2,10.3,5
